COT-055,OPP-055,2,550000.00,"Análisis de Flujo y Modelado de Textilería",8.0
COT-056,OPP-056,1,18000.00,"Metrados de Estructuras y Acabados",1.8
COT-057,OPP-057,1,100000.00,"Compatibilización de Hospital Regional",5.5
COT-058,OPP-058,1,42000.00,"Modelado de Torres de Telecomunicaciones",3.5
COT-059,OPP-059,2,180000.00,"Diseño y Modelado de Línea de Producción",6.0
COT-060,OPP-060,1,40000.00,"Capacitación a Ingenieros Senior en VDC",2.0
COT-061,OPP-061,1,450000.00,"Gestión BIM para Proyecto Ferroviario",4.5
COT-062,OPP-062,1,22000.00,"Modelado y Detallado de Elementos Urbanos",1.5
COT-063,OPP-063,2,170000.00,"Estudio de Tráfico y Modelado de Macro Mercado",7.0
COT-064,OPP-064,1,95000.00,"Diseño BIM de Instalaciones de Resort",3.0
COT-065,OPP-065,3,600000.00,"Modelado de Frentes de Mina Subterránea",8.0
COT-066,OPP-066,1,16000.00,"Metrados de Instalaciones Sanitarias",1.8
COT-067,OPP-067,1,110000.00,"Modelado y Compatibilización de Edificio Público",5.5
COT-068,OPP-068,1,55000.00,"Consultoría BIM para Integración con Sistemas de Seguridad",3.5
COT-069,OPP-069,2,140000.00,"Modelado de Infraestructura Pesquera",6.0
COT-070,OPP-070,1,22000.00,"Capacitación BIM para Arquitectura",2.0
COT-071,OPP-071,1,350000.00,"Gestión BIM de Proyecto de Peajes",4.5
COT-072,OPP-072,1,33000.00,"Diseño y Modelado de Planificación Urbana",1.5
COT-073,OPP-073,3,180000.00,"Modelado BIM de Supermercado Existente",7.0
COT-074,OPP-074,1,78000.00,"Diseño de Interiores de Lobby Hotelero",3.0
COT-075,OPP-075,2,480000.00,"Modelado de Línea de Producción Láctea",8.0
COT-076,OPP-076,1,19000.00,"Metrados Bioclimáticos y Análisis Solar",1.8
COT-077,OPP-077,1,120000.00,"Modelado de Proyecto de Vía Local",5.5
COT-078,OPP-078,1,58000.00,"Consultoría BIM para Infraestructura de Redes",3.5
COT-079,OPP-079,2,160000.00,"Modelado de Almacén de Productos Químicos",6.0
COT-080,OPP-080,1,27000.00,"Capacitación en Diseño BIM Avanzado",2.0
COT-081,OPP-081,1,400000.00,"Gestión BIM para Proyecto de Represa",4.5
COT-082,OPP-082,1,24000.00,"Modelado 3D de Vivienda Rural",1.5
COT-083,OPP-083,3,115000.00,"Modelado de Minimarket y Estructuras",7.0
COT-084,OPP-084,1,88000.00,"Diseño BIM de Fachada de Hotel",3.0
COT-085,OPP-085,2,520000.00,"Modelado de Proceso de Fabricación de Cemento",8.0
COT-086,OPP-086,1,14000.00,"Metrados de Urbanismo y Paisajismo",1.8
COT-087,OPP-087,1,90000.00,"Modelado y Compatibilización de Mercado Municipal",5.5
COT-088,OPP-088,1,48000.00,"Consultoría de Migración a Cloud para Sistemas BIM",3.5
COT-089,OPP-089,2,150000.00,"Diseño de Planta Cervecera (Proceso y Edificación)",6.0
COT-090,OPP-090,1,35000.00,"Capacitación a Estudiantes en VDC",2.0
COT-091,OPP-091,1,310000.00,"Gestión BIM para Proyecto de Tuberías Subterráneas",4.5
COT-092,OPP-092,1,29000.00,"Renderizado Arquitectónico de Rascacielos",1.5
COT-093,OPP-093,3,130000.00,"Modelado BIM de Centro Comercial",7.0
COT-094,OPP-094,1,70000.00,"Diseño de Interiores de Hospedaje Rústico",3.0
COT-095,OPP-095,2,580000.00,"Modelado Geológico y Minero BIM",8.0
COT-096,OPP-096,1,17000.00,"Metrados de Muros y Tabiquería",1.8
COT-097,OPP-097,1,105000.00,"Modelado BIM de Terminal Portuario",5.5
COT-098,OPP-098,1,52000.00,"Consultoría BIM para Instalación de Cámaras de Seguridad",3.5
COT-099,OPP-099,2,120000.00,"Diseño de Infraestructura para Agroindustria",6.0
COT-100,OPP-100,1,28000.00,"Capacitación BIM para Estudiantes de Arquitectura",2.0
